release_year,runtime_minutes,success_class,log_budget,log_google_trends_average,is_summer_release,is_holiday_release,genre_count,is_franchise,num_production_companies,country_count,language_count,is_english,director_avg_gross,writer_avg_gross,creative_type_encoded,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Multiple Genres,genre_Musical,genre_Reality,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Unknown,genre_Western,primary_genre_encoded
2009,125.0,1.0,19.33697147982652,3.4657359027997265,1,0,1,1,1,3,1,1,20.65866783243974,20.58301792614442,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,105.0,1.0,19.33697147982652,3.8088107183086093,1,0,1,0,0,1,1,0,0.0,19.12813222623371,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2013,105.0,1.0,19.33697147982652,3.3572342582410393,0,1,1,0,0,1,1,0,18.655805894746155,20.708012833161398,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2014,105.0,1.0,19.33697147982652,3.7468439945594096,0,1,1,0,0,1,1,0,18.880913609132804,20.702765331374316,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2017,105.0,1.0,19.33697147982652,4.132841274723185,0,0,1,0,0,1,1,0,18.127915293216223,19.114362218471598,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2024,125.0,0.0,19.33697147982652,3.3041652901108107,0,1,1,1,4,3,1,1,18.646625795132866,19.87067893997937,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,125.0,1.0,19.33697147982652,2.6685713901284225,0,0,1,1,2,3,1,1,11.416172244483338,19.904379938802762,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,125.0,1.0,19.316768772590635,3.8473984590851367,0,0,1,1,1,3,1,1,18.709550612487117,19.805808009515328,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,125.0,1.0,19.283570703318816,3.5790285851544836,0,1,1,1,3,3,2,1,19.386143907507115,19.405355560889408,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,125.0,0.0,19.26224793394093,3.5617789518197043,1,0,1,1,4,2,1,1,18.431906878773965,19.508812867029672,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,105.0,1.0,19.253589871235295,3.310071981826201,1,0,1,0,0,1,1,0,18.26558207016732,18.898154403875065,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2017,125.0,1.0,19.253589871235295,3.718281651547393,1,0,1,1,2,2,1,1,16.774713226084224,19.45306934753268,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,106.0,1.0,19.253589871235295,3.8590304752876357,0,1,1,1,3,3,1,1,16.209436169462673,19.673696093999105,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,105.0,1.0,19.23161096461314,3.732278769648492,0,0,1,0,0,1,1,0,17.51234431754398,18.165286670215355,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2006,125.0,1.0,19.23161096461314,3.033711521619207,1,0,1,1,2,2,1,1,0.0,0.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025,125.0,1.0,19.23161096461314,3.2934445203657092,1,0,1,1,2,5,1,1,17.26623824038861,19.294144934248465,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025,125.0,1.0,19.23161096461314,3.033711521619207,1,0,1,1,3,2,1,1,0.0,0.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,125.0,1.0,19.23161096461314,2.8501469565856556,1,0,1,1,3,2,1,1,18.604583664083567,19.105756584260092,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,105.0,0.0,19.23161096461314,0.0,1,0,1,0,0,1,1,0,20.334950332908125,20.582034561835126,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2013,105.0,0.0,19.23161096461314,3.469760053099452,1,0,1,0,0,1,1,0,18.499411189092868,19.452816063963823,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2012,105.0,1.0,19.20913810886209,3.3990445283010544,1,0,1,0,0,1,1,0,0.0,20.546596886908933,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2012,125.0,0.0,19.20913810886209,3.546088736076617,0,0,1,0,4,2,1,1,18.30909199876275,17.708644985751476,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,125.0,1.0,19.19540791611303,3.2543675094616153,1,0,1,1,3,2,1,1,19.637100814966853,19.183667198940633,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,124.0,1.0,19.186148590743098,3.6953103444442266,1,0,1,1,3,2,1,1,15.3021747771011,18.78824212674248,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,104.0,1.0,19.186148590743098,3.033711521619207,1,0,1,1,5,2,1,1,0.0,0.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,125.0,1.0,19.162618093443648,3.1713107164630556,1,0,1,1,6,2,1,1,19.59561487760261,19.526863275765454,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,125.0,1.0,19.162618093443648,3.770905305719527,1,0,1,1,3,2,1,1,19.67673937575159,18.26329257051173,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,104.0,1.0,19.162618093443648,3.2253067151984913,1,0,1,1,1,2,1,1,18.62731232822665,18.079231203077708,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,125.0,0.0,19.162618093443648,3.1055987511325234,1,0,1,0,2,3,1,1,18.408388201093352,18.059797392556415,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,125.0,1.0,19.14822935606056,3.484708014535325,0,1,1,1,1,3,1,1,18.000433956896348,20.697985810283736,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,124.0,1.0,19.138520541980732,2.995732273553991,0,1,1,1,4,2,1,1,18.66248280116198,20.862037557039358,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,105.0,0.0,19.138520541980732,3.3914728317701606,0,1,1,0,0,1,1,0,18.384742529886633,18.82020733892887,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2020,110.0,0.0,19.138520541980732,3.021211358854976,1,0,1,0,2,3,1,1,18.902508186684194,19.079648777026307,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,125.0,1.0,19.11382792951231,3.353857777824433,0,1,1,1,3,2,1,1,17.772280421843718,20.53011431389167,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,120.0,1.0,19.11382792951231,3.839799113359748,0,0,1,1,1,2,1,1,17.828036422678128,20.157876760428245,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,125.0,1.0,19.11382792951231,3.033711521619207,0,1,1,0,3,4,3,1,18.958943605377264,19.05255725134491,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
2024,100.0,1.0,19.11382792951231,3.337948351354456,1,0,1,1,2,2,1,1,0.0,20.343339568729395,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024,105.0,1.0,19.11382792951231,2.756328201368001,1,0,1,0,0,1,1,0,18.905218273873256,20.830425526592034,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2018,118.0,1.0,19.11382792951231,2.4740957336837845,1,0,1,1,1,2,1,1,19.2344530904258,19.2344530904258,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,103.0,1.0,19.11382792951231,3.157686527523512,1,0,1,1,1,2,1,1,20.058700210310114,20.141301842268145,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,89.0,1.0,19.11382792951231,3.3794573950257494,1,0,1,1,1,2,1,1,0.0,20.55894464316913,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
